"Source","Target"
"Argentina","United States"
"Bolivia","Argentina"
"Bolivia","United States"
"Bolivia","Uruguay"
"Brazil","Paraguay"
"Brazil","United States"
"Canada","United States"
"Chile","Argentina"
"Chile","Brazil"
"Chile","Canada"
"Chile","United States"
"Chile","Venezuela"
"Colombia","Ecuador"
"Colombia","Panama"
"Colombia","United States"
"Colombia","Venezuela"
"Costa Rica","United States"
"Ecuador","United States"
"Ecuador","Venezuela"
"El Salvador","Canada"
"El Salvador","Costa.Rica"
"El Salvador","Guatemala"
"El Salvador","Honduras"
"El Salvador","Mexico"
"El Salvador","United States"
"Guatemala","Mexico"
"Guatemala","United States"
"Honduras","United States"
"Mexico","Canada"
"Mexico","United States"
"Nicaragua","Costa.Rica"
"Nicaragua","Honduras"
"Nicaragua","United States"
"Panama","Mexico"
"Panama","United States"
"Paraguay","Argentina"
"Peru","Canada"
"Peru","United States"
"Peru","Venezuela"
"Uruguay","Argentina"
"Uruguay","Brazil"
"Uruguay","United States"
"Venezuela","United States"
