,Argentina,Bolivia,Brazil,Canada,Chile,Colombia,Costa Rica,Ecuador,El Salvador,Guatemala,Honduras,Mexico,Nicaragua,Panama,Paraguay,Peru,United States,Uruguay,Venezuela
Argentina,,,,0.40748675,,,,,,,,,,,,,0.422969916,,
Bolivia,5.321709316,,,,,,,,,,,,,,,,0.181130178,3.312556188,
Brazil,,,,0.390750918,,,,,,,,,,,9.883005822,,0.724325277,,
Canada,,,,,,,,,,,,,,,,,2.081074669,,
Chile,4.304161691,,0.059108732,,,,,,,,,,,,,,0.266400726,,0.781403576
Colombia,,,,0.555551923,,,,4.696275299,,,,,,6.908692202,,,1.804234103,,22.3125715
Costa Rica,,,,,,,,,,,,,,,,,0.227512495,,
Ecuador,,,,0.333098082,,,,,,,,,,,,,1.048589302,,0.899987186
El Salvador,,,,1.248777912,,,,,,,,,,,,,2.96169908,,
Guatemala,,,,0.443774695,,,,,,,,0.185529001,,,,,1.731968939,,
Honduras,,,,,,,,,,,,,,,,,1.012618399,,
Mexico,,,,1.135802955,,,,,,,,,,,,,32.16569075,,
Nicaragua,,,,,,,56.66628912,,,,,,,,,,0.792130944,,
Panama,,,,,,,,,,,,,,,,,0.364701531,,
Paraguay,6.736231378,,,,,,,,,,,,,,,,0.037321188,,
Peru,2.072581159,,,0.551570284,1.949284922,,,,,,,,,,,,0.988057412,,1.173913173
United States,,,,,,,,,,,,,,,,,,,
Uruguay,2.475843556,,0.140468001,,,,,,,,,,,,,,,,
Venezuela,,,,,,,,,,,,,,,,,0.348618917,,
