"width_00","NA"
"Arg","Can"
"Arg","US"
"Bol","Arg"
"Bol","US"
"Bol","UG"
"Braz","Can"
"Braz","PG"
"Braz","US"
"Can","US"
"Chile","Arg"
"Chile","Braz"
"Chile","US"
"Chile","VZ"
"Col","Can"
"Col","Ecu"
"Col","Pan"
"Col","US"
"Col","VZ"
"CR","US"
"Ecu","Can"
"Ecu","US"
"Ecu","VZ"
"ElSal","Can"
"ElSal","US"
"Guat","Can"
"Guat","Mex"
"Guat","US"
"Hond","US"
"Mex","Can"
"Mex","US"
"NG","CR"
"NG","US"
"Pan","US"
"PG","Arg"
"PG","US"
"Peru","Arg"
"Peru","Can"
"Peru","Chile"
"Peru","US"
"Peru","VZ"
"UG","Arg"
"UG","Braz"
"VZ","US"
