"","Argentina","Bolivia","Brazil","Canada","Chile","Colombia","Costa Rica","Ecuador","El Salvador","Guatemala","Honduras","Mexico","Nicaragua","Panama","Paraguay","Peru","United States","Uruguay","Venezuela"
"Argentina",0,-125311,-6009,9864,-190832,-343,579,670,73,169,4,2008,40,204,-206796,-9286,82571,-122347,7502
"Bolivia",125311,0,5438,-220,2470,-17,167,210,16,-79,-120,-6606,-19,121,-364,-3569,28225,10179,1855
"Brazil",6009,-5438,0,6058,-17911,-495,-42,354,-76,24,-101,890,-191,-341,89961,-2686,70683,-22936,3103
"Canada",-9864,220,-6058,0,-21945,-6865,-437,-6879,-26637,-8287,-1938,-15510,-6014,-978,-3284,-10248,505832,-3872,-2358
"Chile",190832,-2470,17911,21945,0,305,1490,3139,380,271,273,2037,144,998,1819,-2573,50031,-1393,19849
"Colombia",343,17,495,6865,-305,0,3681,28368,89,226,144,2752,298,11895,0,806,272646,-360,522455
"Costa Rica",-579,-167,42,437,-1490,-3681,0,-423,-54699,-1219,-2014,7,-93194,-4773,-58,-2016,34944,-252,631
"Ecuador",-670,-210,-354,6879,-3139,-28368,423,0,-19,-24,191,63,-33,1093,-81,-79,134719,-320,22051
"El Salvador",-73,-16,76,26637,-380,-89,54699,19,0,228420,99036,298649,8550,1839,-36,-180,457400,-120,759
"Guatemala",-169,79,-24,8287,-271,-226,1219,24,-228420,0,-1518,66941,-2592,134,-72,-110,219917,-95,466
"Honduras",-4,120,101,1938,-273,-144,2014,-191,-99036,1518,0,1195,-132697,448,-27,-189,106231,-51,362
"Mexico",-2008,6606,-890,15510,-2037,-2752,-7,-63,-298649,-66941,-1195,0,-2171,-24248,2769,-2051,4099784,-394,1426
"Nicaragua",-40,19,191,6014,-144,-298,93194,33,-8550,2592,132697,2171,0,4111,0,-122,164938,-11,2380
"Panama",-204,-121,341,978,-998,-11895,4773,-1093,-1839,-134,-448,24248,-4111,0,-38,-1567,82419,-147,983
"Paraguay",206796,364,-89961,3284,-1819,0,58,81,36,72,27,-2769,0,38,0,339,4475,-2052,359
"Peru",9286,3569,2686,10248,2573,-806,2016,79,180,110,189,2051,122,1567,-339,0,138053,166,27616
"United States",-82571,-28225,-70683,-505832,-50031,-272646,-34944,-134719,-457400,-219917,-106231,-4099784,-164938,-82419,-4475,-138053,0,-19241,-30480
"Uruguay",122347,-10179,22936,3872,1393,360,252,320,120,95,51,394,11,147,2052,-166,19241,0,5303
"Venezuela",-7502,-1855,-3103,2358,-19849,-522455,-631,-22051,-759,-466,-362,-1426,-2380,-983,-359,-27616,30480,-5303,0
