"","Origin","Destination","Immigration_absolute","per1000_dest","per1000_org"
"2","Bolivia","Argentina",125311,3.82560088411553,17.6589052749834
"5","Chile","Argentina",190832,5.82588174954741,14.2017935911534
"15","Paraguay","Argentina",206796,6.31324433155554,50.9450890989689
"18","Uruguay","Argentina",122347,3.73511336888927,39.2513727890685
"43","Chile","Brazil",17911,0.120092617282382,1.33294376735112
"56","Uruguay","Brazil",12782,0.0857028548994144,4.10072210180776
"62","Chile","Canada",21945,0.789688400364426,1.63315565711129
"66","El Salvador","Canada",26637,0.958529501959773,4.93302808327682
"69","Mexico","Canada",15510,0.55812563634779,0.190893141748496
"73","Peru","Canada",10248,0.36877314772999,0.465505637101562
"123","El Salvador","Costa.Rica",54699,17.3193851157586,10.1299584460397
"127","Nicaragua","Costa.Rica",93194,29.5080856410174,22.3886369871603
"139","Colombia","Ecuador",28368,2.70850567021767,0.874474122557326
"180","El Salvador","Guatemala",228420,25.3103319053011,42.3021464422454
"199","El Salvador","Honduras",99036,19.8848024299632,18.3409306324062
"203","Nicaragua","Honduras",132697,26.643378448734,31.878714963251
"218","El Salvador","Mexico",298649,3.67569605996432,55.3081767482276
"219","Guatemala","Mexico",66941,0.823892830547136,7.41747188544244
"223","Panama","Mexico",24248,0.298438227022407,9.87464076758961
"253","Colombia","Panama",11895,4.8440635075255,0.36667617342849
"269","Brazil","Paraguay",89961,22.1622814775544,0.603185301956362
"305","Argentina","United.States",82571,0.331997274591508,2.52079777994193
"306","Bolivia","United.States",28225,0.113485643571536,3.9774848288371
"307","Brazil","United.States",70683,0.284198609196347,0.473926998345744
"308","Canada","United.States",505832,2.03382356276624,18.2023086321776
"309","Chile","United.States",50031,0.201162098619221,3.72332698477716
"310","Colombia","United.States",272646,1.09624116128273,8.40460630353796
"311","Costa Rica","United.States",34944,0.140501056827768,11.0643447500881
"312","Ecuador","United.States",134719,0.541671299072233,12.8626330860848
"313","El Salvador","United.States",457400,1.83909064197061,84.7080018504643
"314","Guatemala","United.States",219917,0.884231081570292,24.368147542326
"315","Honduras","United.States",106231,0.427128198485309,21.3294402736118
"316","Mexico","United.States",4099784,16.4842028607365,50.4591004674544
"317","Nicaragua","United.States",164938,0.663174316364996,39.6241926238625
"318","Panama","United.States",82419,0.331386120727101,33.5639235163299
"320","Peru","United.States",138053,0.555076476598096,6.27092600690691
"322","Uruguay","United.States",19241,0.0773632335858255,6.17289891729644
"323","Venezuela","United.States",30480,0.122552432809935,1.54324589674055
"347","Chile","Venezuela",19849,1.00498319568252,1.4771705007064
"348","Colombia","Venezuela",522455,26.4526422238052,16.1052375105995
"350","Ecuador","Venezuela",22051,1.11647359806515,2.10537431380322
"358","Peru","Venezuela",27616,1.39823748964524,1.254430491237
