Origin,Destination,Immigration_absolute,per1000_dest,per1000_org
Bolivia,Argentina,326471,8.137951959,32.06245713
Brazil,Argentina,13464,0.335617513,0.070582389
Chile,Argentina,129002,3.215636546,7.508207682
Paraguay,Argentina,529996,13.21122546,83.47708301
Peru,Argentina,157301,3.921046528,5.409899234
Uruguay,Argentina,88257,2.199984765,26.29369621
Bolivia,Brazil,16418,0.086068157,1.612398716
Uruguay,Brazil,11865,0.062199944,3.534843758
Argentina,Canada,18342,0.536364439,0.457211559
Brazil,Canada,21346,0.624208664,0.111902234
Chile,Canada,25195,0.736762732,1.46640589
Colombia,Canada,59522,1.740567229,1.329289083
Ecuador,Canada,11785,0.344621901,0.78167004
El Salvador,Canada,43420,1.269705808,7.155276588
Guatemala,Canada,14940,0.436881731,1.030336869
Mexico,Canada,59485,1.73948526,0.529524953
Peru,Canada,24652,0.720884099,0.847832092
Venezuela,Canada,14922,0.436355368,0.517516828
Bolivia,Chile,21080,1.226903598,2.070250026
Colombia,Chile,12057,0.701744624,0.269265792
Peru,Chile,117108,6.815950026,4.02758075
Colombia,Costa Rica,19859,4.35890474,0.443505795
El Salvador,Costa Rica,12861,2.822895104,2.119392266
Nicaragua,Costa Rica,278044,61.02861723,47.75747166
Colombia,Ecuador,207827,13.78465332,4.641345424
Argentina,Mexico,12729,0.113311307,0.317296147
Colombia,Mexico,10137,0.090237782,0.22638694
Guatemala,Mexico,17644,0.157063769,1.216818187
Colombia,Panama,45122,13.24852539,1.007697692
Nicaragua,Panama,10656,3.128768373,1.830298866
Brazil,Paraguay,36607,5.765789888,0.191905044
Argentina,United States,177954,0.575251912,4.43586445
Bolivia,United States,76845,0.248408202,7.546886302
Brazil,United States,329646,1.065609605,1.728104738
Canada,United States,605497,1.957322155,17.70619663
Chile,United States,85676,0.276955184,4.986536654
Colombia,United States,641488,2.073666219,14.32618184
Costa Rica,United States,78195,0.252772195,17.16322857
Ecuador,United States,414037,1.338410914,27.46205501
El Salvador,United States,1187247,3.83788005,195.6490249
Guatemala,United States,809981,2.618334619,55.86032715
Honduras,United States,486983,1.574215256,60.5249323
Mexico,United States,11426612,36.93752542,101.7176798
Nicaragua,United States,250783,0.810678041,43.07506012
Panama,United States,95547,0.308864057,28.05409457
Paraguay,United States,29681,0.095946436,4.674909435
Peru,United States,415890,1.344400899,14.30329745
Uruguay,United States,51172,0.165417978,15.24526125
Venezuela,United States,170057,0.549724167,5.897825975
Colombia,Venezuela,884252,30.66715521,19.74776605
Ecuador,Venezuela,27750,0.962410667,1.84058919
Peru,Venezuela,40622,1.408830491,1.397072661
